Count,Domain Name,Registrar,Creation Date,Expiration Date,Name Servers,Error
1,WEIRDCANADA.COM,IONOS SE,2009-05-26,2025-05-26,"BRUCE.NS.CLOUDFLARE.COM, RUTH.NS.CLOUDFLARE.COM",
2,WEIRDESTBANDINTHEWORLD.COM,DropCatch.com 672 LLC,2019-12-02,2025-12-02,"DNS2016A.TROUBLE-FREE.NET, DNS2016B.TROUBLE-FREE.NET",
3,WEIRDLOVEMAKERS.COM,"DNC Holdings, Inc",2000-02-04,2025-02-04,"NS1.DNCHOSTING.COM, NS2.DNCHOSTING.COM",
4,WEISBART.COM,NAMECHEAP INC,1999-04-02,2025-04-02,"CASS.NS.CLOUDFLARE.COM, MAREK.NS.CLOUDFLARE.COM",
5,WEISERWEISSMAN.COM,"GoDaddy.com, LLC",2008-04-08,2025-04-08,"NS1.NAMEFIND.COM, NS2.NAMEFIND.COM",
6,WEJEW.COM,"TurnCommerce, Inc. DBA NameBright.com",2007-04-11,2025-04-11,"NS1.NAMEBRIGHTDNS.COM, NS2.NAMEBRIGHTDNS.COM",
7,WEKNOWLOUISVILLE.COM,"GoDaddy.com, LLC",2007-08-14,2025-08-14,"SIERRA.NS.CLOUDFLARE.COM, YADIEL.NS.CLOUDFLARE.COM",
8,welcome.to/runcornfc,N/A,N/A,N/A,N/A,
9,topuertorico.org,"Register.com, Inc.",1997-01-31,2027-02-01,"ns1.bluehost.com, ns2.bluehost.com",
10,welcomehometour.org/,N/A,N/A,N/A,N/A,"Domain not found.
>>> Last update of WHOIS database: 2024-12-08T23:06:20Z <<<

Terms of Use: Access to Public Interest Registry WHOIS information is provided to assist persons in determining the contents of a domain name registration record in the Public Interest Registry registry database. The data in this record is provided by Public Interest Registry for informational purposes only, and Public Interest Registry does not guarantee its accuracy. This service is intended only for query-based access. You agree that you will use this data only for lawful purposes and that, under no circumstances will you use this data to (a) allow, enable, or otherwise support the transmission by e-mail, telephone, or facsimile of mass unsolicited, commercial advertising or solicitations to entities other than the data recipient's own existing customers; or (b) enable high volume, automated, electronic processes that send queries or data to the systems of Registry Operator, a Registrar, or Identity Digital except as reasonably necessary to register domain names or modify existing registrations. All rights reserved. Public Interest Registry reserves the right to modify these terms at any time. By submitting this query, you agree to abide by this policy.  The Registrar of Record identified in this output may have an RDDS service that can be queried for additional information on how to contact the Registrant, Admin, or Tech contact of the queried domain name.
"
11,welcomeinnvintage.com/,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
