Count,Domain Name,Registrar,Creation Date,Expiration Date,Name Servers,Error
1,CINCINNATUSCONSULTING.COM,"GoDaddy.com, LLC",2009-08-26,2026-08-26,"NS71.DOMAINCONTROL.COM, NS72.DOMAINCONTROL.COM",
2,CINCYJUNGLE.COM,"Amazon Registrar, Inc.",2006-02-27,2025-02-27,"NS-1130.AWSDNS-13.ORG, NS-2010.AWSDNS-59.CO.UK, NS-358.AWSDNS-44.COM, NS-599.AWSDNS-10.NET",
3,cincysportsfanatix.com/new-york-red-bulls-vs-los-angeles-galaxy-livestream-04-october-2011/,N/A,N/A,N/A,N/A,"No match for ""CINCYSPORTSFANATIX.COM"".
>>> Last update of whois database: 2024-12-08T23:38:43Z <<<

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expire. This date does not necessarily reflect the expiration
date of the domain name registrant's agreement with the sponsoring
registrar.  Users may consult the sponsoring registrar's Whois database to
view the registrar's reported date of expiration for this registration.

TERMS OF USE: You are not authorized to access or query our Whois
database through the use of electronic processes that are high-volume and
automated except as reasonably necessary to register domain names or
modify existing registrations; the Data in VeriSign Global Registry
Services' (""VeriSign"") Whois database is provided by VeriSign for
information purposes only, and to assist persons in obtaining information
about or related to a domain name registration record. VeriSign does not
guarantee its accuracy. By submitting a Whois query, you agree to abide
by the following terms of use: You agree that you may use this Data only
for lawful purposes and that under no circumstances will you use this Data
to: (1) allow, enable, or otherwise support the transmission of mass
unsolicited, commercial advertising or solicitations via e-mail, telephone,
or facsimile; or (2) enable high volume, automated, electronic processes
that apply to VeriSign (or its computer systems). The compilation,
repackaging, dissemination or other use of this Data is expressly
prohibited without the prior written consent of VeriSign. You agree not to
use electronic processes that are automated and high-volume to access or
query the Whois database except as reasonably necessary to register
domain names or modify existing registrations. VeriSign reserves the right
to restrict your access to the Whois database in its sole discretion to ensure
operational stability.  VeriSign may restrict or terminate your access to the
Whois database for failure to abide by these terms of use. VeriSign
reserves the right to modify these terms at any time.

The Registry database contains ONLY .COM, .NET, .EDU domains and
Registrars.
"
4,cindywoodrogers.com/,N/A,N/A,N/A,N/A,"No match for ""CINDYWOODROGERS.COM"".
>>> Last update of whois database: 2024-12-08T23:38:43Z <<<

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expire. This date does not necessarily reflect the expiration
date of the domain name registrant's agreement with the sponsoring
registrar.  Users may consult the sponsoring registrar's Whois database to
view the registrar's reported date of expiration for this registration.

TERMS OF USE: You are not authorized to access or query our Whois
database through the use of electronic processes that are high-volume and
automated except as reasonably necessary to register domain names or
modify existing registrations; the Data in VeriSign Global Registry
Services' (""VeriSign"") Whois database is provided by VeriSign for
information purposes only, and to assist persons in obtaining information
about or related to a domain name registration record. VeriSign does not
guarantee its accuracy. By submitting a Whois query, you agree to abide
by the following terms of use: You agree that you may use this Data only
for lawful purposes and that under no circumstances will you use this Data
to: (1) allow, enable, or otherwise support the transmission of mass
unsolicited, commercial advertising or solicitations via e-mail, telephone,
or facsimile; or (2) enable high volume, automated, electronic processes
that apply to VeriSign (or its computer systems). The compilation,
repackaging, dissemination or other use of this Data is expressly
prohibited without the prior written consent of VeriSign. You agree not to
use electronic processes that are automated and high-volume to access or
query the Whois database except as reasonably necessary to register
domain names or modify existing registrations. VeriSign reserves the right
to restrict your access to the Whois database in its sole discretion to ensure
operational stability.  VeriSign may restrict or terminate your access to the
Whois database for failure to abide by these terms of use. VeriSign
reserves the right to modify these terms at any time.

The Registry database contains ONLY .COM, .NET, .EDU domains and
Registrars.
"
5,cine-asie.ca/en/,N/A,N/A,N/A,N/A,
6,cine.ar,nicar,2013-09-10,2025-03-03,"ns1.dcarsat.com.ar, ns2.dcarsat.com.ar, ns3.dcarsat.com.ar, ns4.dcarsat.com.ar",
7,CINE101.COM,"NameCheap, Inc.",2021-02-02,2025-02-02,"DNS1.NAMECHEAPHOSTING.COM, DNS2.NAMECHEAPHOSTING.COM",
8,CINEASIECREATIVES.COM,DropCatch.com 547 LLC,2024-09-28,2025-09-28,"DAISY.NS.CLOUDFLARE.COM, MIKE.NS.CLOUDFLARE.COM",
9,CINEASTE.COM,"NameCheap, Inc.",1996-04-08,2029-04-09,"DNS1.REGISTRAR-SERVERS.COM, DNS2.REGISTRAR-SERVERS.COM",
10,CINEBASTI.COM,Dynadot Inc,2008-08-07,2025-08-07,"HOPE.NS.CLOUDFLARE.COM, KURT.NS.CLOUDFLARE.COM",
