Count,Domain Name,Registrar,Creation Date,Expiration Date,Name Servers,Error
1,http://jpadmin.net,N/A,N/A,N/A,N/A,"No match for ""JPADMIN.NET"".
>>> Last update of whois database: 2024-12-08T19:36:04Z <<<

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expire. This date does not necessarily reflect the expiration
date of the domain name registrant's agreement with the sponsoring
registrar.  Users may consult the sponsoring registrar's Whois database to
view the registrar's reported date of expiration for this registration.

TERMS OF USE: You are not authorized to access or query our Whois
database through the use of electronic processes that are high-volume and
automated except as reasonably necessary to register domain names or
modify existing registrations; the Data in VeriSign Global Registry
Services' (""VeriSign"") Whois database is provided by VeriSign for
information purposes only, and to assist persons in obtaining information
about or related to a domain name registration record. VeriSign does not
guarantee its accuracy. By submitting a Whois query, you agree to abide
by the following terms of use: You agree that you may use this Data only
for lawful purposes and that under no circumstances will you use this Data
to: (1) allow, enable, or otherwise support the transmission of mass
unsolicited, commercial advertising or solicitations via e-mail, telephone,
or facsimile; or (2) enable high volume, automated, electronic processes
that apply to VeriSign (or its computer systems). The compilation,
repackaging, dissemination or other use of this Data is expressly
prohibited without the prior written consent of VeriSign. You agree not to
use electronic processes that are automated and high-volume to access or
query the Whois database except as reasonably necessary to register
domain names or modify existing registrations. VeriSign reserves the right
to restrict your access to the Whois database in its sole discretion to ensure
operational stability.  VeriSign may restrict or terminate your access to the
Whois database for failure to abide by these terms of use. VeriSign
reserves the right to modify these terms at any time.

The Registry database contains ONLY .COM, .NET, .EDU domains and
Registrars.
"
2,http://amazcn-jp-co.xyz,N/A,N/A,N/A,N/A,
3,https://www.ib-jcb.xyz/,N/A,N/A,N/A,N/A,
4,https://www.is-jcb.top/,N/A,N/A,N/A,N/A,
5,https://www.jb-jcb.top/,N/A,N/A,N/A,N/A,
6,https://www.jcb-i.top/,N/A,N/A,N/A,N/A,
7,https://www.jcb-i.xyz/,N/A,N/A,N/A,N/A,
8,https://www.ico-jcb.xyz/,N/A,N/A,N/A,N/A,
9,https://www.jcp-jcb.xyz/,N/A,N/A,N/A,N/A,
10,https://nttdocomo.jp.bureaub.xyz/,N/A,N/A,N/A,N/A,
11,https://bicceamare.vfiuji.shop/,N/A,N/A,N/A,N/A,
12,https://bicceoamare.xcdjsn.shop/,N/A,N/A,N/A,N/A,
13,https://bicceomare.uhipdr.shop/,N/A,N/A,N/A,N/A,
14,https://nenkin.go.jp.gnpcrb.shop/,N/A,N/A,N/A,N/A,
