Count,Domain Name,Registrar,Creation Date,Expiration Date,Name Servers,Error
1,NEUBERT.NET,"Network Solutions, LLC",1997-10-10,2030-10-09,"NS1.VERIO.COM, NS2.VERIO.COM",
2,EPAPERPRESS.COM,IONOS SE,2000-06-10,2025-06-10,"NS1.INMOTIONHOSTING.COM, NS2.INMOTIONHOSTING.COM",
3,univ-mlv.fr,GIP RENATER,1994-12-31,2024-12-31,"helios.univ-mlv.fr, saintex.univ-mlv.fr",
4,softpanorama.org,Tucows Domains Inc.,1997-04-06,2032-04-07,"henry.ns.cloudflare.com, naya.ns.cloudflare.com",
5,FRESHMEAT.NET,"GoDaddy.com, LLC",1998-03-24,2025-03-23,"NS11.CONSTELLIX.COM, NS21.CONSTELLIX.COM, NS31.CONSTELLIX.COM, NS41.CONSTELLIX.NET, NS51.CONSTELLIX.NET, NS61.CONSTELLIX.NET",
6,WEBGLIMPSE.NET,Dynadot Inc,1998-12-17,2024-12-17,"A.SHARE-DNS.COM, B.SHARE-DNS.NET",
7,www.ics.forth.gr/~lourakis/fibsrch/,N/A,N/A,N/A,N/A,
8,TROPICALCODER.COM,Tucows Domains Inc.,2007-06-07,2029-06-07,"NS1.MEGANAMESERVERS.COM, NS2.MEGANAMESERVERS.COM, NS3.MEGANAMESERVERS.COM",
9,LOEBNER.NET,Porkbun LLC,1998-03-27,2031-11-30,"ATHENA.NS.CLOUDFLARE.COM, GORDON.NS.CLOUDFLARE.COM",
10,dcu.ie,HEAnet,1999-11-05,2024-12-31,"ns-105.awsdns-13.com, ns-1250.awsdns-28.org, ns-2005.awsdns-58.co.uk, ns-870.awsdns-44.net",
11,aaai.org,Tucows Domains Inc.,1989-02-09,2025-02-10,"ns1.hover.com, ns2.hover.com",
12,www.upo.es/eps/aguilar/,N/A,N/A,N/A,N/A,
13,vu.nl,SURF B.V.,1989-02-15,N/A,", Creation, Updated, new-ns1.vu.nl, new-ns2.vu.nl",
14,utb.cz,REG-INTERNET-CZ,2000-01-18,2025-01-18,"nsa.ces.net, sun.utb.cz (195.178.88.66)",
15,OBJS.COM,"GoDaddy.com, LLC",1997-11-03,2025-08-04,"NS1.AIRMAIL.NET, NS3.AIRMAIL.NET, NS4.AIRMAIL.NET, NS5.AIRMAIL.NET",
16,centria.di.fct.unl.pt/~jleite/dalt04/index.htm,N/A,N/A,N/A,N/A,
17,SIU.EDU,N/A,1989-01-27,2027-07-31,N/A,
18,NEWPALTZ.EDU,N/A,1990-04-30,2025-07-31,N/A,
19,hermans.org,Tucows Domains Inc.,1996-04-15,2025-04-16,"ns1.siteground.net, ns2.siteground.net",
20,ruebenstrunk.de,N/A,N/A,N/A,"root-dns.netcup.net, second-dns.netcup.net, third-dns.netcup.net",
21,fipa.org,"Network Solutions, LLC",1997-05-16,2026-05-17,"a.ns.interland.net, b.ns.interland.net, c.ns.interland.net",
