Count,Domain Name,Registrar,Creation Date,Expiration Date,Name Servers,Error
1,disvfthejnadoufh.biz/message.php,N/A,N/A,N/A,N/A,
2,fnsacxejerahf.info/message.php,N/A,N/A,N/A,N/A,
3,xecemaekvltyv.xyz/message.php,N/A,N/A,N/A,N/A,
4,mbmeeayr.su/message.php,N/A,N/A,N/A,N/A,"% TCI Whois Service. Terms of use:
% https://tcinet.ru/documents/whois_ru_rf.pdf (in Russian)
% https://tcinet.ru/documents/whois_su.pdf (in Russian)

No entries found for the selected source(s).

Last updated on 2024-12-08T19:53:01Z

"
5,ydcdxki.work/message.php,N/A,N/A,N/A,N/A,
6,umfhhrwfws.ru/message.php,N/A,N/A,N/A,N/A,"% TCI Whois Service. Terms of use:
% https://tcinet.ru/documents/whois_ru_rf.pdf (in Russian)
% https://tcinet.ru/documents/whois_su.pdf (in Russian)

No entries found for the selected source(s).

Last updated on 2024-12-08T19:53:01Z

"
7,dspdepmduhduk.work/message.php,N/A,N/A,N/A,N/A,
8,heihlcvfcexxxqvr.click/message.php,N/A,N/A,N/A,N/A,
9,lbflexv.click/message.php,N/A,N/A,N/A,N/A,
10,qvepebtlksgxel.su/message.php,N/A,N/A,N/A,N/A,"% TCI Whois Service. Terms of use:
% https://tcinet.ru/documents/whois_ru_rf.pdf (in Russian)
% https://tcinet.ru/documents/whois_su.pdf (in Russian)

No entries found for the selected source(s).

Last updated on 2024-12-08T19:53:01Z

"
11,avqraxyq.pl/message.php,N/A,N/A,N/A,N/A,
12,AFRAMED.COM,"GoDaddy.com, LLC",2017-08-05,2026-08-05,"NSG1.NAMEBRIGHTDNS.COM, NSG2.NAMEBRIGHTDNS.COM",
13,ALEX-BEAUTY.COM,Hosting Concepts B.V. d/b/a Registrar.eu,2023-10-29,2024-10-29,"INA1.REGISTRAR.EU, INA2.REGISTRAR.EU, INA3.REGISTRAR.EU",
14,BAHUTNORMA.NET,Key-Systems GmbH,2016-11-04,2025-11-04,"SC-A.SINKHOLE.SHADOWSERVER.ORG, SC-B.SINKHOLE.SHADOWSERVER.ORG, SC-C.SINKHOLE.SHADOWSERVER.ORG, SC-D.SINKHOLE.SHADOWSERVER.ORG",
15,BENSONGDINH.COM,"ENOM, INC.",2008-05-30,2025-05-30,"NS3003.MOCHAHOST.COM, NS4003.MOCHAHOST.COM",
16,BILCHBENZO.NET,Key-Systems GmbH,2016-11-04,2025-11-04,"SC-A.SINKHOLE.SHADOWSERVER.ORG, SC-B.SINKHOLE.SHADOWSERVER.ORG, SC-C.SINKHOLE.SHADOWSERVER.ORG, SC-D.SINKHOLE.SHADOWSERVER.ORG",
17,boosyy.com/opr8wk,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
18,chidu360.com/zowu27z7,N/A,N/A,N/A,N/A,"No match for ""CHIDU360.COM"".
>>> Last update of whois database: 2024-12-08T19:53:14Z <<<

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expire. This date does not necessarily reflect the expiration
date of the domain name registrant's agreement with the sponsoring
registrar.  Users may consult the sponsoring registrar's Whois database to
view the registrar's reported date of expiration for this registration.

TERMS OF USE: You are not authorized to access or query our Whois
database through the use of electronic processes that are high-volume and
automated except as reasonably necessary to register domain names or
modify existing registrations; the Data in VeriSign Global Registry
Services' (""VeriSign"") Whois database is provided by VeriSign for
information purposes only, and to assist persons in obtaining information
about or related to a domain name registration record. VeriSign does not
guarantee its accuracy. By submitting a Whois query, you agree to abide
by the following terms of use: You agree that you may use this Data only
for lawful purposes and that under no circumstances will you use this Data
to: (1) allow, enable, or otherwise support the transmission of mass
unsolicited, commercial advertising or solicitations via e-mail, telephone,
or facsimile; or (2) enable high volume, automated, electronic processes
that apply to VeriSign (or its computer systems). The compilation,
repackaging, dissemination or other use of this Data is expressly
prohibited without the prior written consent of VeriSign. You agree not to
use electronic processes that are automated and high-volume to access or
query the Whois database except as reasonably necessary to register
domain names or modify existing registrations. VeriSign reserves the right
to restrict your access to the Whois database in its sole discretion to ensure
operational stability.  VeriSign may restrict or terminate your access to the
Whois database for failure to abide by these terms of use. VeriSign
reserves the right to modify these terms at any time.

The Registry database contains ONLY .COM, .NET, .EDU domains and
Registrars.
"
19,chokepaisarn.com/kfzn2pjh,N/A,N/A,N/A,N/A,"No match for ""CHOKEPAISARN.COM"".
>>> Last update of whois database: 2024-12-08T19:53:14Z <<<

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expire. This date does not necessarily reflect the expiration
date of the domain name registrant's agreement with the sponsoring
registrar.  Users may consult the sponsoring registrar's Whois database to
view the registrar's reported date of expiration for this registration.

TERMS OF USE: You are not authorized to access or query our Whois
database through the use of electronic processes that are high-volume and
automated except as reasonably necessary to register domain names or
modify existing registrations; the Data in VeriSign Global Registry
Services' (""VeriSign"") Whois database is provided by VeriSign for
information purposes only, and to assist persons in obtaining information
about or related to a domain name registration record. VeriSign does not
guarantee its accuracy. By submitting a Whois query, you agree to abide
by the following terms of use: You agree that you may use this Data only
for lawful purposes and that under no circumstances will you use this Data
to: (1) allow, enable, or otherwise support the transmission of mass
unsolicited, commercial advertising or solicitations via e-mail, telephone,
or facsimile; or (2) enable high volume, automated, electronic processes
that apply to VeriSign (or its computer systems). The compilation,
repackaging, dissemination or other use of this Data is expressly
prohibited without the prior written consent of VeriSign. You agree not to
use electronic processes that are automated and high-volume to access or
query the Whois database except as reasonably necessary to register
domain names or modify existing registrations. VeriSign reserves the right
to restrict your access to the Whois database in its sole discretion to ensure
operational stability.  VeriSign may restrict or terminate your access to the
Whois database for failure to abide by these terms of use. VeriSign
reserves the right to modify these terms at any time.

The Registry database contains ONLY .COM, .NET, .EDU domains and
Registrars.
"
20,fekabt.lapok.hu/w2vj1j,N/A,N/A,N/A,N/A,
21,decouer.com/j9mmdn,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
22,forum.hrubieszow.info/wvcgytic,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
23,FRACTUS.COM,"Network Solutions, LLC",1998-01-28,2030-01-27,"NS100.WORLDNIC.COM, NS99.WORLDNIC.COM",
24,fotoray.pl/mbl5m,N/A,N/A,N/A,N/A,
25,frangipani.be,N/A,2015-02-21,N/A,"e, e, n, ., d, n, s, s, r, v, ., n, l, , 
, 	, t, w, e, e, ., d, n, s, s, r, v, ., n, l, , 
, 	, d, r, i, e, ., d, n, s, s, r, v, ., n, l",
26,freetube.nl,team.blue nl B.V.,2007-07-18,N/A,", Creation, Updated, ns0.transip.net, ns1.transip.nl, ns2.transip.eu",
27,frozem.ca,PublicDomainRegistry.com Inc,2010-11-09,2032-11-09,"ns10.dnsprive.com, ns9.dnsprive.com",
28,friendlybookkeeping.ca/igt6ou5,N/A,N/A,N/A,N/A,"Not found: friendlybookkeeping.ca

%
% Use of CIRA's WHOIS service is governed by the Terms of Use in its Legal
% Notice, available at http://www.cira.ca/legal-notice/?lang=en
%
% (c) 2024 Canadian Internet Registration Authority, (http://www.cira.ca/)
"
29,G0757.COM,Gname.com Pte. Ltd.,2017-05-03,2025-05-03,"NS1.DNS.COM, NS2.DNS.COM",
30,gaaei.dk,N/A,2006-07-17,2025-07-31,"ns1.simply.com, ns2.simply.com, ns3.simply.com, ns4.simply.com",
