Count,Domain Name,Registrar,Creation Date,Expiration Date,Name Servers,Error
1,HARVEYABRAMSBOOKS.COM,"Name.com, Inc.",2002-12-15,2024-12-15,"NS37.DOMAINCONTROL.COM, NS38.DOMAINCONTROL.COM",
2,HARVEYCOHEN.NET,"GoDaddy.com, LLC",2006-04-14,2025-04-14,"NS1.GLOBEDOMAIN.COM, NS2.GLOBEDOMAIN.COM",
3,HARVEYS-SUPERMARKETS.COM,"Network Solutions, LLC",1996-08-27,2025-08-26,"NS1.SEGROCERS.COM, NS2.SEGROCERS.COM",
4,HASBROTOYSHOP.COM,"MarkMonitor, Inc.",2004-11-24,2025-11-24,"NS1-01.AZURE-DNS.COM, NS2-01.AZURE-DNS.NET, NS3-01.AZURE-DNS.ORG, NS4-01.AZURE-DNS.INFO",
5,hasc.org,"Network Solutions, LLC",1996-09-16,2026-09-15,"ns3.easydns.org, ns1.easydns.com, ns2.easydns.com, ns6.easydns.net, remote2.easydns.com, remote1.easydns.com",
6,HASEKAMP.NET,"NameCheap, Inc.",2019-01-02,2026-01-02,"DNS1.REGISTRAR-SERVERS.COM, DNS2.REGISTRAR-SERVERS.COM",
7,HASKETTFH.COM,"GoDaddy.com, LLC",2002-04-15,2034-04-15,"JERRY.NS.CLOUDFLARE.COM, MEERA.NS.CLOUDFLARE.COM",
8,HAT.NET,NAMECHEAP INC,1996-06-17,2027-06-16,"NS1.WINHOST.COM, NS2.WINHOST.COM, NS3.WINHOST.COM",
9,hate-my-job.com/,N/A,N/A,N/A,N/A,"No match for ""HATE-MY-JOB.COM"".
>>> Last update of whois database: 2024-12-09T00:09:30Z <<<

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expire. This date does not necessarily reflect the expiration
date of the domain name registrant's agreement with the sponsoring
registrar.  Users may consult the sponsoring registrar's Whois database to
view the registrar's reported date of expiration for this registration.

TERMS OF USE: You are not authorized to access or query our Whois
database through the use of electronic processes that are high-volume and
automated except as reasonably necessary to register domain names or
modify existing registrations; the Data in VeriSign Global Registry
Services' (""VeriSign"") Whois database is provided by VeriSign for
information purposes only, and to assist persons in obtaining information
about or related to a domain name registration record. VeriSign does not
guarantee its accuracy. By submitting a Whois query, you agree to abide
by the following terms of use: You agree that you may use this Data only
for lawful purposes and that under no circumstances will you use this Data
to: (1) allow, enable, or otherwise support the transmission of mass
unsolicited, commercial advertising or solicitations via e-mail, telephone,
or facsimile; or (2) enable high volume, automated, electronic processes
that apply to VeriSign (or its computer systems). The compilation,
repackaging, dissemination or other use of this Data is expressly
prohibited without the prior written consent of VeriSign. You agree not to
use electronic processes that are automated and high-volume to access or
query the Whois database except as reasonably necessary to register
domain names or modify existing registrations. VeriSign reserves the right
to restrict your access to the Whois database in its sole discretion to ensure
operational stability.  VeriSign may restrict or terminate your access to the
Whois database for failure to abide by these terms of use. VeriSign
reserves the right to modify these terms at any time.

The Registry database contains ONLY .COM, .NET, .EDU domains and
Registrars.
"
10,hathistory.org,"GoDaddy.com, LLC",2004-01-13,2026-01-13,"ns1.a2hosting.com, ns2.a2hosting.com",
11,hatimimmobilier.com/en/sellers.html,N/A,N/A,N/A,N/A,"No match for ""HATIMIMMOBILIER.COM"".
>>> Last update of whois database: 2024-12-09T00:09:30Z <<<

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expire. This date does not necessarily reflect the expiration
date of the domain name registrant's agreement with the sponsoring
registrar.  Users may consult the sponsoring registrar's Whois database to
view the registrar's reported date of expiration for this registration.

TERMS OF USE: You are not authorized to access or query our Whois
database through the use of electronic processes that are high-volume and
automated except as reasonably necessary to register domain names or
modify existing registrations; the Data in VeriSign Global Registry
Services' (""VeriSign"") Whois database is provided by VeriSign for
information purposes only, and to assist persons in obtaining information
about or related to a domain name registration record. VeriSign does not
guarantee its accuracy. By submitting a Whois query, you agree to abide
by the following terms of use: You agree that you may use this Data only
for lawful purposes and that under no circumstances will you use this Data
to: (1) allow, enable, or otherwise support the transmission of mass
unsolicited, commercial advertising or solicitations via e-mail, telephone,
or facsimile; or (2) enable high volume, automated, electronic processes
that apply to VeriSign (or its computer systems). The compilation,
repackaging, dissemination or other use of this Data is expressly
prohibited without the prior written consent of VeriSign. You agree not to
use electronic processes that are automated and high-volume to access or
query the Whois database except as reasonably necessary to register
domain names or modify existing registrations. VeriSign reserves the right
to restrict your access to the Whois database in its sole discretion to ensure
operational stability.  VeriSign may restrict or terminate your access to the
Whois database for failure to abide by these terms of use. VeriSign
reserves the right to modify these terms at any time.

The Registry database contains ONLY .COM, .NET, .EDU domains and
Registrars.
"
12,HATTERASSOUND.COM,"GoDaddy.com, LLC",2009-02-25,2026-02-25,"NS07.DOMAINCONTROL.COM, NS08.DOMAINCONTROL.COM",
13,hattrick.org,Name SRS AB,2000-04-13,2033-04-13,"ns10.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com",
14,HATTRICKDALMATIANS.COM,Wix.com Ltd.,2009-07-08,2028-07-08,"NS1.WIX.COM, NS2.WIX.COM",
15,HATTRICKHOCKEY.NET,"Network Solutions, LLC",2005-04-02,2026-04-02,"NS69.WORLDNIC.COM, NS70.WORLDNIC.COM",
16,HAUNTEDHOTSAUCE.COM,"GoDaddy.com, LLC",2005-06-15,2025-06-15,"JUNADE.NS.CLOUDFLARE.COM, OLIVIA.NS.CLOUDFLARE.COM",
17,HAUNTEDPORTAL.COM,"GoDaddy.com, LLC",2022-12-18,2024-12-18,"DONNA.NS.CLOUDFLARE.COM, ELMO.NS.CLOUDFLARE.COM",
18,HAUNTFORUM.COM,GoDaddy Online Services Cayman Islands Ltd.,2006-05-20,2025-05-20,"NS-CLOUD-E1.GOOGLEDOMAINS.COM, NS-CLOUD-E2.GOOGLEDOMAINS.COM, NS-CLOUD-E3.GOOGLEDOMAINS.COM, NS-CLOUD-E4.GOOGLEDOMAINS.COM",
19,HAUNTJAUNTS.NET,FastDomain Inc.,2009-04-01,2025-04-01,"NS1.BLUEHOST.COM, NS2.BLUEHOST.COM",
20,HAUNTWORLD.COM,"GoDaddy.com, LLC",1997-07-25,2025-07-24,"NS-1273.AWSDNS-31.ORG, NS-1907.AWSDNS-46.CO.UK, NS-59.AWSDNS-07.COM, NS-972.AWSDNS-57.NET",
21,HAUSEGENEALOGY.COM,"GoDaddy.com, LLC",2011-01-23,2025-01-23,"NS67.DOMAINCONTROL.COM, NS68.DOMAINCONTROL.COM",
22,hauserwirth.com/artists/37/jason-rhoades/biography/,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
23,HAUTELIVING.COM,"GoDaddy.com, LLC",2004-01-10,2025-01-10,"10.SUCURIDNS.COM, 11.SUCURIDNS.COM, 13.SUCURIDNS.COM, 14.SUCURIDNS.COM",
24,havanatimes.org/?p=54256,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
25,haveanicestay.com/info/8174/,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
26,havelshouseofhistory.com/jewish%20autographs%20golds-gord.htm,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
27,haveninparis.com/,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
28,havens-of-manhattan.com/,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
29,HAVERFORD.EDU,N/A,1990-04-09,2025-07-31,N/A,
30,havingxxx.com/escorts/montreal/incalls-gfe-pfe-outcalls.jsp?city=montreal&q=carlee-is-your-perfect-upscale-playmate-514-965-4348-23/1877703,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
31,HAWAIIACTORS.COM,"NameCheap, Inc.",2022-12-29,2025-12-29,"NS1.DREAMHOST.COM, NS2.DREAMHOST.COM, NS3.DREAMHOST.COM",
32,HAWAIIANMUSICHISTORY.COM,Tucows Domains Inc.,2008-06-23,2025-06-23,"NS0.NS0.COM, NS2.QUICKSERVE.COM",
33,hawaiidebtsettlement.org/,N/A,N/A,N/A,N/A,"Domain not found.
>>> Last update of WHOIS database: 2024-12-09T00:09:49Z <<<

Terms of Use: Access to Public Interest Registry WHOIS information is provided to assist persons in determining the contents of a domain name registration record in the Public Interest Registry registry database. The data in this record is provided by Public Interest Registry for informational purposes only, and Public Interest Registry does not guarantee its accuracy. This service is intended only for query-based access. You agree that you will use this data only for lawful purposes and that, under no circumstances will you use this data to (a) allow, enable, or otherwise support the transmission by e-mail, telephone, or facsimile of mass unsolicited, commercial advertising or solicitations to entities other than the data recipient's own existing customers; or (b) enable high volume, automated, electronic processes that send queries or data to the systems of Registry Operator, a Registrar, or Identity Digital except as reasonably necessary to register domain names or modify existing registrations. All rights reserved. Public Interest Registry reserves the right to modify these terms at any time. By submitting this query, you agree to abide by this policy.  The Registrar of Record identified in this output may have an RDDS service that can be queried for additional information on how to contact the Registrant, Admin, or Tech contact of the queried domain name.
"
34,HAWAIIHIGHWAYS.COM,Hostopia Canada Corp,2002-01-16,2025-01-16,"NS1.ABAC.COM, NS2.ABAC.COM",
35,hawaiihomes2c.com/,N/A,N/A,N/A,N/A,"No match for ""HAWAIIHOMES2C.COM"".
>>> Last update of whois database: 2024-12-09T00:09:30Z <<<

NOTICE: The expiration date displayed in this record is the date the
registrar's sponsorship of the domain name registration in the registry is
currently set to expire. This date does not necessarily reflect the expiration
date of the domain name registrant's agreement with the sponsoring
registrar.  Users may consult the sponsoring registrar's Whois database to
view the registrar's reported date of expiration for this registration.

TERMS OF USE: You are not authorized to access or query our Whois
database through the use of electronic processes that are high-volume and
automated except as reasonably necessary to register domain names or
modify existing registrations; the Data in VeriSign Global Registry
Services' (""VeriSign"") Whois database is provided by VeriSign for
information purposes only, and to assist persons in obtaining information
about or related to a domain name registration record. VeriSign does not
guarantee its accuracy. By submitting a Whois query, you agree to abide
by the following terms of use: You agree that you may use this Data only
for lawful purposes and that under no circumstances will you use this Data
to: (1) allow, enable, or otherwise support the transmission of mass
unsolicited, commercial advertising or solicitations via e-mail, telephone,
or facsimile; or (2) enable high volume, automated, electronic processes
that apply to VeriSign (or its computer systems). The compilation,
repackaging, dissemination or other use of this Data is expressly
prohibited without the prior written consent of VeriSign. You agree not to
use electronic processes that are automated and high-volume to access or
query the Whois database except as reasonably necessary to register
domain names or modify existing registrations. VeriSign reserves the right
to restrict your access to the Whois database in its sole discretion to ensure
operational stability.  VeriSign may restrict or terminate your access to the
Whois database for failure to abide by these terms of use. VeriSign
reserves the right to modify these terms at any time.

The Registry database contains ONLY .COM, .NET, .EDU domains and
Registrars.
"
36,HAWAIIINFOGUIDE.COM,"GoDaddy.com, LLC",2004-11-17,2025-02-25,"NS03.DOMAINCONTROL.COM, NS04.DOMAINCONTROL.COM",
37,hawaiimagazine.com/blogs/hawaii_today/2010/7/29/hawaii_five_0_sneak_preview,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
38,hawaiinaturalhistory.org/,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
39,hawaiistateruralhealth.org/?page_id=75,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
40,hawaiistreetsoccer.com/,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
41,HAWKEE.COM,"NameCheap, Inc.",1997-01-02,2026-01-01,"DNS1.REGISTRAR-SERVERS.COM, DNS2.REGISTRAR-SERVERS.COM",
42,hawkertempest.se/alexandrejaeg.htm,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
43,HAWKESBAYNZ.COM,"Network Solutions, LLC",2000-03-23,2025-03-23,"NS1.SITEHOST.CO.NZ, NS2.SITEHOST.CO.NZ",
44,HAWKESBURYHOSPITAL.COM,WHC Online Solutions Inc.,2001-10-12,2025-10-12,"PARKING1.WHC.CA, PARKING2.WHC.CA",
45,hawkeyelounge.com/showthread.php?t=72903,N/A,N/A,N/A,N/A,[Errno 104] Connection reset by peer
46,HAWKEYES-FOOTBALL.COM,"GoDaddy Corporate Domains, LLC",2009-07-23,2025-07-23,"DNS1.P01.NSONE.NET, DNS2.P01.NSONE.NET, DNS3.P01.NSONE.NET, DNS4.P01.NSONE.NET, NS01.GANNETT-DNS.COM, NS02.GANNETT-DNS.COM, NS03.GANNETT-DNS.COM, NS04.GANNETT-DNS.COM",
47,HAWKEYESPORTS.COM,"GoDaddy.com, LLC",1996-05-07,2033-05-08,"PDNS11.DOMAINCONTROL.COM, PDNS12.DOMAINCONTROL.COM",
48,HAWKHOLLOW.COM,"GoDaddy.com, LLC",1999-06-22,2025-06-22,"NS1.PARKINGCREW.NET, NS2.PARKINGCREW.NET",
49,HAWNAYTROOF.COM,Tool Domains Ltd dba Edoms.com,2024-04-01,2025-04-01,"NS1.PARKINGCREW.NET, NS2.PARKINGCREW.NET",
50,HAWTHORN.COM,"Network Solutions, LLC",1995-12-10,2024-12-09,"A1-120.AKAM.NET, A11-64.AKAM.NET, A16-64.AKAM.NET, A20-67.AKAM.NET, A26-65.AKAM.NET, A5-67.AKAM.NET",
51,hawthornenj.org,"Network Solutions, LLC",1997-09-17,2026-09-16,"ns87.worldnic.com, ns88.worldnic.com",
52,HAYES-PA.COM,"Domain.com, LLC",1999-05-02,2025-05-02,"NS1.DOTSTER.COM, NS2.DOTSTER.COM",
